date, pm25, pm10, no2, co
2025/3/1, 85, 28, 17, 
2025/3/2, 67, 28, 22, 
2025/3/3, 68, 33, 20, 
2025/3/4, 77, 36, 22, 
2025/3/5, 82, 20, 22, 
2025/3/6, 50, 18, 26, 
2025/3/7, 50, 36, 30, 
2025/3/8, 90, 61, 31, 
2025/3/9, 130, 63, 31, 
2025/3/10, 131, 45, 26, 
2025/3/11, 99, 25, 23, 
2025/3/12, 60, 25, 19, 
2025/3/13, 61, 31, 20, 
2025/3/14, 74, 26, 20, 
2025/3/15, 64, 14, 25, 
2025/3/16, 38, 28, 37, 
2025/3/17, 70, 27, 30, 
2025/3/18, 68, 21, 28, 
2025/3/19, 56, 27, 34, 
2025/3/20, 67, 54, 51, 
2025/3/21, 121, 48, 43, 
2025/3/22, 111, 50, 28, 
2025/3/23, 113, 54, 31, 
2025/3/24, 120, 49, 33, 
2025/3/25, 109, 42, 28, 
2025/3/26, 95, 39, 23, 
2025/3/27, 87, 37, 24, 
2025/3/28, 85, 26, 17, 
2025/3/29, 61, 10, 16, 
2025/3/30, 29, 11, 15, 
2025/3/31, 31, , , 
2025/2/1, 58, 19, 21, 
2025/2/2, 50, 12, 20, 
2025/2/3, 33, 19, 25, 
2025/2/4, 52, 39, 34, 
2025/2/5, 94, 40, 19, 
2025/2/6, 90, 7, 17, 
2025/2/7, 20, 12, 24, 
2025/2/8, 35, 29, 28, 
2025/2/9, 73, 56, 41, 
2025/2/10, 127, 61, 39, 
2025/2/11, 134, 62, 27, 
2025/2/12, 135, 45, 30, 
2025/2/13, 102, 43, 30, 
2025/2/14, 97, 38, 25, 
2025/2/15, 85, 17, 13, 
2025/2/16, 44, 30, 16, 
2025/2/17, 71, 18, 12, 
2025/2/18, 46, 29, 16, 
2025/2/19, 69, 51, 29, 
2025/2/20, 112, 41, 26, 
2025/2/21, 90, 48, 25, 
2025/2/22, 105, 23, 17, 
2025/2/23, 54, 15, 20, 
2025/2/24, 40, 29, 19, 
2025/2/25, 68, 28, 22, 
2025/2/26, 67, 60, 34, 
2025/2/27, 130, 43, 29, 
2025/2/28, 96, 38, 26, 
2025/1/7, 139, 56, 40, 
2025/1/8, 123, 54, 35, 
2025/1/9, 123, 22, 31, 
2025/1/10, 58, 27, 34, 
2025/1/11, 69, 42, 44, 
2025/1/12, 98, 54, 46, 
2025/1/13, 116, 54, 48, 
2025/1/14, 121, 54, 45, 
2025/1/15, 120, 51, 45, 
2025/1/16, 117, 55, 44, 
2025/1/17, 122, 69, 44, 
2025/1/18, 147, 68, 37, 
2025/1/19, 146, 82, 50, 
2025/1/20, 166, 64, 45, 
2025/1/21, 136, 59, 42, 
2025/1/22, 128, 45, 34, 
2025/1/23, 100, 46, 28, 
2025/1/24, 101, 33, 24, 
2025/1/25, 76, 15, 20, 
2025/1/26, 38, 29, 31, 
2025/1/27, 65, 28, 24, 
2025/1/28, 66, 47, 30, 
2025/1/29, 108, 41, 29, 
2025/1/30, 96, 24, 23, 
2025/1/31, 59, 23, 18, 
2021/7/5, 4, , , 
2021/7/10, 6, 8, 17, 2
2021/7/11, 6, 8, 20, 1
2021/7/12, 7, 8, 17, 2
2021/7/13, 8, 8, 13, 2
2021/7/14, 7, 8, 17, 2
2021/7/15, 6, 9, 15, 2
2021/7/16, 8, 13, 19, 2
2021/7/17, 13, 20, 23, 2
2021/7/18, 25, 13, 24, 3
2021/7/19, 16, 34, 20, 3
2021/7/20, 45, 12, 34, 1
2021/7/21, 18, , , 
2021/4/1, 55, 39, 10, 6
2021/4/2, 40, 42, 10, 5
2021/4/3, 44, 48, 8, 4
2021/4/4, 66, 56, 10, 6
2021/4/5, 76, 61, 8, 5
2021/4/6, 92, 43, 8, 4
2021/4/7, 53, 43, 8, 4
2021/4/8, 47, 26, 16, 4
2021/4/9, 31, 47, 11, 4
2021/4/10, 70, 70, 18, 5
2021/4/11, 104, 44, 20, 3
2021/4/12, 47, 34, 20, 3
2021/4/13, 28, 31, 21, 3
2021/4/14, 31, 32, 16, 3
